,collocate,raw_frequency,MI
376,stepped,763,3.6659539654903726
366,slightly,788,3.6194413928685267
434,somewhere,826,3.5514952409054574
114,refused,833,3.5393205269593553
297,throw,861,3.491623784928059
49,lies,877,3.4650601798801697
91,large,3569,3.4401890262758803
382,playing,894,3.437362191141585
210,ma,905,3.4197192303543353
65,white,6358,3.4144908332445314
143,movement,923,3.3913063746791288
230,harm,947,3.354272596856518
273,laugh,1978,3.291666501565792
443,meanwhile,1003,3.271387321712722
134,inside,1012,3.2584996376305932
386,sick,1021,3.2457260614471015
348,waiting,2061,3.232364422785647
249,lead,1072,3.1754040218671307
201,charles,1100,3.138205403912881
326,queen,1127,3.1032214121526818
73,seated,1149,3.0753301296787896
294,following,1163,3.0578578308516846
320,fine,3491,3.0570310714933058
331,third,1164,3.0566178694166193
314,thin,1174,3.044276519214851
372,legs,1193,3.021114884629675
33,o,5965,3.021114884629675
105,keep,5007,2.9517624722411484
52,terrible,1261,2.941140651996683
138,green,2635,2.877905965800326
298,shop,1343,2.850249622897461
444,lives,1366,2.8257514440348124
328,running,1367,2.8246956847188427
442,darling,1406,2.784112333252368
113,ways,1414,2.7759268075155044
169,jane,1438,2.751645251885605
220,sitting,2926,2.726779158186416
38,ready,3009,2.686424820991566
192,trying,1509,2.6821161217982197
0,a,313437,2.6771642010722756
125,let,10757,2.655859971417371
18,poor,9350,2.635705063383698
180,ha,1577,2.6185262675343925
199,whose,4753,2.6118330267437235
412,watched,1643,2.5593764473748286
110,walked,3387,2.515700940830746
319,touch,1705,2.5059371884133683
384,trust,1720,2.4933003627354426
155,round,8852,2.451633571411254
422,mere,1867,2.374987000098701
116,reached,1881,2.364209078801708
4,s,98437,2.327005484353092
291,beside,1967,2.299711970046373
55,old,20025,2.2739066850288308
31,great,16101,2.2666305388306824
351,strange,4034,2.2634978437119417
318,struck,2185,2.1480756479369423
419,usual,2224,2.1225521396013955
334,seeing,2293,2.0784725727441096
394,human,2365,2.0338687440981453
263,save,2418,2.0018946830757796
381,whom,7331,1.9866614228435022
94,young,14673,1.9855794629871133
342,dear,10037,1.948452712080172
14,does,5025,1.9465853313712498
133,saw,10308,1.9100163904652832
310,ran,2586,1.9049866525146486
202,garden,2602,1.8960879656071075
195,got,7855,1.8870601528645006
299,says,5287,1.8732596009439613
235,silent,2667,1.8604911027739768
431,loved,2766,1.807907771174409
287,deal,2796,1.7923445669494666
45,or,40419,1.746102126160622
217,quiet,2890,1.7446394349368617
163,sent,2898,1.7406513327679738
25,has,20286,1.7406513327679738
283,sometimes,2907,1.7361778561886658
162,taking,2926,1.7267791581864163
63,going,8989,1.6925107993278665
109,opened,3006,1.6878639184085384
279,soul,3203,1.5962851295502196
411,beautiful,3222,1.5877524336183342
22,as,118566,1.5560873775387623
241,above,3316,1.5462649208291526
429,across,3316,1.5462649208291526
48,thus,3334,1.5384548233384863
286,master,3378,1.5195395995235172
103,looked,13768,1.4924618302846995
186,such,17429,1.4742191313735078
2,ah,3499,1.4687662630850535
204,after,17578,1.4619379956469913
421,making,3519,1.4605434135752382
27,happy,3560,1.4438316864711431
276,same,7307,1.406429720319808
42,head,11085,1.3901345632913897
307,bed,3775,1.3592322832250994
126,out,34685,1.329393949635761
417,pretty,3902,1.3114951497158769
396,rather,7815,1.3094630544378763
397,else,3937,1.2986122151658621
68,replied,3976,1.2843911707626168
6,the,716071,1.2755658742136686
370,won,4078,1.2478471523083066
17,came,16408,1.2393814358450508
338,looking,8219,1.2367460547781426
151,near,4122,1.232364422785647
399,hard,4144,1.224684924638349
272,make,12471,1.2201661797005305
290,upon,20805,1.2187786392801443
371,half,8402,1.2049761418383855
148,care,4330,1.161341902710816
174,sort,4347,1.1556888320468175
121,an,40487,1.10624708785614
251,took,9099,1.090000928979576
156,however,4595,1.075644066148506
306,coming,4611,1.0706292619129756
145,lay,4651,1.0581679878002916
233,small,4700,1.043048170872541
165,left,9449,1.0355472725491421
364,passed,4807,1.0105721241870074
131,also,4823,1.0057781175630076
324,herself,9664,1.0030884729998242
265,up,34684,0.9668654650568299
295,leave,4969,0.9627533857747931
34,re,5119,0.9198469213335219
15,brought,5153,0.9102963351718742
311,set,5153,0.9102963351718742
140,off,10375,0.9006694963158914
5,with,119666,0.8964013879385998
117,really,5290,0.8724412053235149
361,here,16000,0.8606714283839723
20,into,27283,0.8277066378770174
373,mother,11072,0.8068649846881785
369,without,11149,0.7968665181222148
388,called,5585,0.7941516469542259
83,cried,5603,0.7895094350947128
259,through,11222,0.7874510148548226
104,again,17012,0.7721905734202957
309,woman,11408,0.763734945881015
28,don,17201,0.7562508933887887
80,had,130329,0.7091262173541294
76,than,23706,0.7085285806260763
428,since,5930,0.7076768228915371
183,am,17832,0.7042748117863068
250,sat,6014,0.6873840597509001
135,which,55348,0.6551746480548939
357,room,12354,0.6488025969714927
313,last,12401,0.6433243704801717
44,is,80966,0.6369043457471699
181,nothing,12498,0.6320835875631
200,over,18839,0.6250209467481604
70,must,18850,0.6241788100026704
316,both,6343,0.610543585492033
296,your,32982,0.5540300424533477
190,having,6628,0.5471353251034511
205,before,19901,0.5459024073109275
144,indeed,6673,0.5373734238118857
441,till,6684,0.5349971942637151
120,may,13512,0.5195395995235171
198,girl,6957,0.4772436069577432
41,on,83998,0.4683883558960716
325,where,14146,0.4533866663596585
30,who,35600,0.4438316864711428
136,never,21437,0.4386403114675
93,her,157324,0.4375455838021457
51,between,7171,0.4335346100684264
268,stood,7245,0.41872323788061133
392,see,22306,0.38131150649242174
129,little,29962,0.37064690411303575
223,friend,7499,0.36901070421817855
111,turned,7543,0.3605705017383596
50,and,464653,0.3464363529095357
152,against,7628,0.34440408401214684
153,mrs,15267,0.3433642356265484
84,way,15400,0.3308504818552769
275,m,7914,0.2913018623522021
115,at,94972,0.29124109810913174
206,did,23883,0.2827592651819659
11,that,184707,0.2701761515342219
401,been,40162,0.26987781280050543
81,in,220766,0.24422223916916508
187,they,51271,0.18060029686981757
196,right,8646,0.1636760914289995
130,made,17522,0.14461337602112198
289,because,8881,0.1249867945768313
67,his,151274,0.12215153140118366
173,by,54906,0.08177952129227363
150,go,18469,0.06867507875057573
21,for,111639,0.05797413189361764
8,of,385180,0.04387194755405114
9,but,94079,0.04183620233875464
300,things,9789,-0.01545256048811725
418,while,9813,-0.018985332479031544
98,said,69057,-0.0266519066224694
197,yes,10063,-0.05527963538093017
43,she,141679,-0.06341827444951151
424,most,10205,-0.07549534959517862
24,when,41369,-0.09476925139953775
228,from,52134,-0.1065156278163866
211,any,21077,-0.12188870245737855
278,being,10949,-0.17701827806274065
58,was,187449,-0.18718255004111178
10,to,393339,-0.29952638094663214
40,there,48533,-0.32518520827354847
57,men,12162,-0.32859966186315215
36,some,24566,-0.34288213481650365
59,he,205737,-0.4089485353927796
142,still,12863,-0.4094463246936792
118,about,25796,-0.41336654188249045
321,we,39440,-0.4409162182192146
340,my,79926,-0.4599215560067231
106,this,53893,-0.47631706504252236
149,shall,13750,-0.5056507858618434
308,life,14245,-0.5566747888863104
154,so,57145,-0.5608464401039683
123,mr,29736,-0.6184297605368547
12,t,45155,-0.6361424122564053
383,lady,15155,-0.6460130193467883
226,face,15179,-0.6482959156483752
327,what,45925,-0.660536387840015
232,now,31571,-0.7048191254425089
26,very,31790,-0.7147921837004354
445,would,48107,-0.7275035008420099
222,will,32348,-0.739895683792303
231,no,48713,-0.7455635010848909
257,be,81619,-0.753196107070923
29,if,49064,-0.7559215225946322
74,not,98938,-0.7677814026762434
191,are,33103,-0.7731811361905055
170,our,16603,-0.7776631132592615
188,could,34170,-0.8189494149917274
216,you,154336,-0.82429688099468
72,other,17604,-0.8621224440696431
363,say,18604,-0.9418320121997084
347,how,20175,-1.0587878407276021
427,good,21327,-1.1389002079373838
7,i,263140,-1.1790153311234493
282,one,44946,-1.2144118950456217
209,have,75818,-1.383797066718908
164,him,78172,-1.4279086155347949
367,their,27078,-1.4833403516087402
224,all,58419,-1.592656829955338
238,then,30756,-1.6670870516878307
132,it,173534,-1.8414375206667357
368,were,48208,-2.31549174526956
